"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"535","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:51:45,FALSE,NA,"941833190208974848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yoloon_fish",397,TRUE,FALSE,NA,NA
"536","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:47:45,FALSE,NA,"941832184196771840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChiliToaster",397,TRUE,FALSE,NA,NA
"537","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:43:36,FALSE,NA,"941831137885696001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GZero93",397,TRUE,FALSE,NA,NA
"538","Some icons I made for you and your Squid Sister #Splatoon https://t.co/MInIQ2i980",FALSE,0,NA,2017-12-16 00:43:10,FALSE,NA,"941831030385786882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","splxtoontrash",0,FALSE,FALSE,NA,NA
"539","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:42:03,FALSE,NA,"941830747307962369",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PeterVervloet",397,TRUE,FALSE,NA,NA
"540","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:39:05,FALSE,NA,"941830003821486080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SonofPechoman",397,TRUE,FALSE,NA,NA
"541","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:32:33,FALSE,NA,"941828356890288128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UlyqgnC9zp0sBaZ",397,TRUE,FALSE,NA,NA
"542","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:27:32,FALSE,NA,"941827097076555776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Scuttlebug420",397,TRUE,FALSE,NA,NA
"543","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:20:58,FALSE,NA,"941825444600455169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MetaBlaziken",397,TRUE,FALSE,NA,NA
"544","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:17:23,FALSE,NA,"941824539696103424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","torchperish",397,TRUE,FALSE,NA,NA
"545","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:16:12,FALSE,NA,"941824243381125122",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheShinyJirachi",397,TRUE,FALSE,NA,NA
"546","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-16 00:13:10,FALSE,NA,"941823478809772033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NTE_Arts",397,TRUE,FALSE,NA,NA
"547","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:59:58,FALSE,NA,"941820158372233216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mysteries63",397,TRUE,FALSE,NA,NA
"548","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:58:58,FALSE,NA,"941819907099914240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Honeymoons_Over",397,TRUE,FALSE,NA,NA
"549","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:52:14,FALSE,NA,"941818213137924097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BayleafMclovin",397,TRUE,FALSE,NA,NA
